phase,split,eval_idx,global_step,tokens_seen,loss,attention_type,positional_mode,drop_positions_tokens,hidden_size,n_layers,head_size,seed,acc,f1,mcc
protein,valid_long,6,7000,277317608,2.59375,causal,rotary,-1,768,12,64,11,0.20957755809213208,0.20957755809213208,0.1489769490116971
protein,train,7,8000,316873237,2.60590625,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,7,8000,316873237,2.578125,causal,rotary,-1,768,12,64,11,0.21033623276870644,0.21033623276870644,0.15120583174242752
protein,valid_long,7,8000,316873237,2.5859375,causal,rotary,-1,768,12,64,11,0.21075658812488904,0.21075658812488904,0.15180040254341298
protein,train,8,9000,356507531,2.60284375,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,8,9000,356507531,2.578125,causal,rotary,-1,768,12,64,11,0.21086098148812882,0.21086098148812882,0.15027357546967654
protein,valid_long,8,9000,356507531,2.5859375,causal,rotary,-1,768,12,64,11,0.21109856510320854,0.21109856510320854,0.15006717354528856
protein,train,9,10000,396143532,2.600703125,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,9,10000,396143532,2.5703125,causal,rotary,-1,768,12,64,11,0.2122947496452463,0.2122947496452463,0.15133484997789776
protein,valid_long,9,10000,396143532,2.5859375,causal,rotary,-1,768,12,64,11,0.20891222882198485,0.20891222882198485,0.14813452504609895
protein,train,10,11000,435778347,2.59825,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,10,11000,435778347,2.5625,causal,rotary,-1,768,12,64,11,0.2186442416162445,0.2186442416162445,0.1599465982114059
protein,valid_long,10,11000,435778347,2.5859375,causal,rotary,-1,768,12,64,11,0.21056928198783118,0.21056928198783118,0.1507737142433449
protein,train,11,12000,475451418,2.594625,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,11,12000,475451418,2.5703125,causal,rotary,-1,768,12,64,11,0.21569622823493578,0.21569622823493578,0.1573508109617105
protein,valid_long,11,12000,475451418,2.5703125,causal,rotary,-1,768,12,64,11,0.21379222434671766,0.21379222434671766,0.15411006123101256
protein,train,12,13000,515055043,2.594265625,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,12,13000,515055043,2.5625,causal,rotary,-1,768,12,64,11,0.22061150528303813,0.22061150528303813,0.1607801396935063
protein,valid_long,12,13000,515055043,2.578125,causal,rotary,-1,768,12,64,11,0.21120481006853328,0.21120481006853328,0.1502815667025525
protein,train,13,14000,554698855,2.592515625,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,13,14000,554698855,2.5703125,causal,rotary,-1,768,12,64,11,0.21433280925090023,0.21433280925090023,0.15460678241111625
protein,valid_long,13,14000,554698855,2.578125,causal,rotary,-1,768,12,64,11,0.21053770007888642,0.21053770007888642,0.15052376927571837
protein,train,14,15000,594251982,2.59034375,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,14,15000,594251982,2.5625,causal,rotary,-1,768,12,64,11,0.21508957860206915,0.21508957860206915,0.15580561393666326
protein,valid_long,14,15000,594251982,2.5703125,causal,rotary,-1,768,12,64,11,0.21425297891842346,0.21425297891842346,0.15415911142852978
protein,train,15,16000,633868779,2.589015625,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,15,16000,633868779,2.5703125,causal,rotary,-1,768,12,64,11,0.21816067546387582,0.21816067546387582,0.15957880411535802
protein,valid_long,15,16000,633868779,2.578125,causal,rotary,-1,768,12,64,11,0.21257690547617836,0.21257690547617836,0.15222378846608015
protein,train,16,17000,673525684,2.5871875,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,16,17000,673525684,2.5546875,causal,rotary,-1,768,12,64,11,0.22024768425291985,0.22024768425291985,0.161400843825612
protein,valid_long,16,17000,673525684,2.578125,causal,rotary,-1,768,12,64,11,0.21174422446438101,0.21174422446438101,0.15195045613584668
protein,train,17,18000,713212112,2.58578125,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,17,18000,713212112,2.578125,causal,rotary,-1,768,12,64,11,0.21865179929042067,0.21865179929042067,0.15982558271031433
protein,valid_long,17,18000,713212112,2.5625,causal,rotary,-1,768,12,64,11,0.2162754184709666,0.2162754184709666,0.1569006880917861
protein,train,18,19000,752794869,2.58534375,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,18,19000,752794869,2.546875,causal,rotary,-1,768,12,64,11,0.22591684543875779,0.22591684543875779,0.167662834380561
protein,valid_long,18,19000,752794869,2.5703125,causal,rotary,-1,768,12,64,11,0.21488349613349614,0.21488349613349614,0.1547744377834226
protein,train,19,20000,792399283,2.58296875,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,19,20000,792399283,2.546875,causal,rotary,-1,768,12,64,11,0.22664209286847897,0.22664209286847897,0.16809554213772873
protein,valid_long,19,20000,792399283,2.5625,causal,rotary,-1,768,12,64,11,0.21914309674468246,0.21914309674468246,0.16005039965431223
protein,train,20,21000,832042000,2.58190625,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,20,21000,832042000,2.5625,causal,rotary,-1,768,12,64,11,0.21978189971463513,0.21978189971463513,0.16114525003271016
protein,valid_long,20,21000,832042000,2.5625,causal,rotary,-1,768,12,64,11,0.2156989574613804,0.2156989574613804,0.15586361640523164
protein,train,21,22000,871698306,2.580171875,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,21,22000,871698306,2.5390625,causal,rotary,-1,768,12,64,11,0.22773998874852963,0.22773998874852963,0.16856981557355788
protein,valid_long,21,22000,871698306,2.5703125,causal,rotary,-1,768,12,64,11,0.21578663793103448,0.21578663793103448,0.1557265451542749
protein,train,22,23000,911298736,2.579546875,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,22,23000,911298736,2.5546875,causal,rotary,-1,768,12,64,11,0.22186169134049888,0.22186169134049888,0.16381142869509746
protein,valid_long,22,23000,911298736,2.5703125,causal,rotary,-1,768,12,64,11,0.21627974942502445,0.21627974942502445,0.15626531162579277
protein,train,23,24000,950970623,2.575546875,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,23,24000,950970623,2.546875,causal,rotary,-1,768,12,64,11,0.22603471974749276,0.22603471974749276,0.16724287633556897
protein,valid_long,23,24000,950970623,2.5546875,causal,rotary,-1,768,12,64,11,0.22057979517134949,0.22057979517134949,0.1608954970899705
protein,train,24,25000,990557045,2.572296875,causal,rotary,-1,768,12,64,11,,,
