phase,split,eval_idx,global_step,tokens_seen,loss,attention_type,positional_mode,drop_positions_tokens,hidden_size,n_layers,head_size,seed,acc,f1,mcc
protein,valid_long,16,17000,673525684,2.515625,dual_triangle,rotary,700000000,768,12,128,11,0.23345103188058483,0.23345103188058483,0.17461485374218064
protein,train,17,18000,713212112,2.538140625,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,17,18000,713212112,2.578125,dual_triangle,rotary,700000000,768,12,128,11,0.2051631119850754,0.2051631119850754,0.14418065734227406
protein,valid_long,17,18000,713212112,2.59375,dual_triangle,rotary,700000000,768,12,128,11,0.2044859055985216,0.2044859055985216,0.14334000954923756
protein,train,18,19000,752794869,2.581140625,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,18,19000,752794869,2.546875,dual_triangle,rotary,700000000,768,12,128,11,0.2216783569662411,0.2216783569662411,0.16326389390986606
protein,valid_long,18,19000,752794869,2.5859375,dual_triangle,rotary,700000000,768,12,128,11,0.20825884650006973,0.20825884650006973,0.1484320366774594
protein,train,19,20000,792399283,2.5686875,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,19,20000,792399283,2.53125,dual_triangle,rotary,700000000,768,12,128,11,0.2265143088279907,0.2265143088279907,0.1679381534349485
protein,valid_long,19,20000,792399283,2.59375,dual_triangle,rotary,700000000,768,12,128,11,0.2030603857097692,0.2030603857097692,0.1429970109108502
protein,train,20,21000,832042000,2.55928125,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,20,21000,832042000,2.53125,dual_triangle,rotary,700000000,768,12,128,11,0.2254382388911537,0.2254382388911537,0.16599980223448185
protein,valid_long,20,21000,832042000,2.5859375,dual_triangle,rotary,700000000,768,12,128,11,0.2054754419682063,0.2054754419682063,0.14401599255120462
protein,train,21,22000,871698306,2.552015625,dual_triangle,rotary,700000000,768,12,128,11,,,
